StartDate,EndDate,RecordedDate,ResponseId,Init,doublerev,version,Title,id,answer,clean_answer,varnum,clean_answer_binned,fullquestion,abbr,Group,clean_group,qnum,ES,survey_order,qa_note,ctw_answer,ctw_comment
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.1_16_1,potential tourism (12 types),potential tourism (12 types),1,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Cultural Services, including Physical and psychological experiences ##do we... - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking] - Response 1: Separate by commas",Response,,,Q12,CulturePsych,89,,,
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.1_16_2,,,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Cultural Services, including Physical and psychological experiences ##do we... - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking] - DO NOT USE Response 2",Response,,,Q12,CulturePsych,90,,,
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.2_16,,,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,Environmental,,Q12,CulturePsych,106,,Other,"CTW reviewed missing drivers. SDJ noted drivers not discussed (agree -- discussion more about model performance and outcome), but biotic, environmental, and human variables were fed into model for landscape ES potential."
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.3_16,,,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,Human,,Q12,CulturePsych,122,,Exploitation (hunting; fishing),"CTW reviewed missing drivers. SDJ noted drivers not discussed (agree -- discussion more about model performance and outcome), but biotic, environmental, and human variables were fed into model for landscape ES potential."
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.4_16,,,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,Biotic,,Q12,CulturePsych,138,,Other,"CTW reviewed missing drivers. SDJ noted drivers not discussed (agree -- discussion more about model performance and outcome), but biotic, environmental, and human variables were fed into model for landscape ES potential."
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.5_16,Proxy for ES,Proxy for ES,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Yclass,,,Q12,CulturePsych,154,,,
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.6_16,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",EffectDirect,Environmental,,Q12,CulturePsych,170,,Didn't quantify,"CTW reviewed missing drivers, added directionality for new drivers added. Model output is categorical across landscape. Effect of drivers not teased out."
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.7_16,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",EffectDirect,Human,,Q12,CulturePsych,186,,Didn't quantify,"CTW reviewed missing drivers, added directionality for new drivers added. Model output is categorical across landscape. Effect of drivers not teased out."
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q25.8_16,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",EffectDirect,Biotic,,Q12,CulturePsych,202,,Didn't quantify,"CTW reviewed missing drivers, added directionality for new drivers added. Model output is categorical across landscape. Effect of drivers not teased out."
2020-04-24T22:22:52Z,2020-04-24T22:40:41Z,2020-04-24T22:40:42Z,R_OJZSRE5K8UF5uzn,SDJ,FALSE,final,From intrinsic to service potential: An approach to assess tourism landscape potential,Q17,,,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Environmental,,Q12,,203,,"Topography, waterbody and waterway location, waterbody and waterway connectivity, waterbody bathymetry, water clarity, surface geology, land cover class","CTW reviewed missing drivers. SDJ noted drivers not discussed (agree -- discussion more about model performance and outcome), but biotic, environmental, and human variables were fed into model for landscape ES potential."
