Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,AKreviewed,GVreviewed
Aislyn,Grant,Albert,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,CONSERVATION BIOLOGY,2017,TRUE,TRUE
Aislyn,Grant,Bianchi,Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression,ECOLOGICAL APPLICATIONS,2010,TRUE,TRUE
Aislyn,Grant,Burdon,Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams,ECOLOGY AND EVOLUTION,2016,TRUE,TRUE
Aislyn,Grant,Butler,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,TRUE,TRUE
Aislyn,Grant,Chiang,Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,LANDSCAPE AND URBAN PLANNING,2014,TRUE,TRUE
Aislyn,Grant,Clark,Nitrogen-induced terrestrial eutrophication: cascading effects and impacts on ecosystem services,ECOSPHERE,2017,TRUE,TRUE
Aislyn,Grant,Galic,When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing,ECOLOGY LETTERS,2018,TRUE,TRUE
Aislyn,Grant,Graca,Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,ECOSYSTEM SERVICES,2017,TRUE,FALSE
Aislyn,Grant,Hyvonen,Arable weeds as indicators of agricultural intensity - A case study from Finland,BIOLOGICAL CONSERVATION,2008,TRUE,FALSE
Aislyn,Grant,Leite Lima,Hydrological controls of fisheries production in a major Amazonian tributary,ECOHYDROLOGY,2017,TRUE,FALSE
Aislyn,Grant,Nassauer,What will the neighbors think? Cultural norms and ecological design,LANDSCAPE AND URBAN PLANNING,2009,TRUE,FALSE
Aislyn,Grant,Petrie,Grassland to shrubland state transitions enhance carbon sequestration in the northern Chihuahuan Desert,GLOBAL CHANGE BIOLOGY,2015,TRUE,FALSE
Aislyn,Grant,Uriarte,Influence of land use on water quality in a tropical landscape: a multi-scale analysis,LANDSCAPE ECOLOGY,2011,TRUE,FALSE
Aislyn,Grant,Zorrilla-Miras,Environmental Conservation and Social Benefits of Charcoal Production in Mozambique,ECOLOGICAL ECONOMICS,2018,TRUE,FALSE
Grant,Aislyn,Alvarez-Filip,Coral identity underpins architectural complexity on Caribbean reefs,ECOLOGICAL APPLICATIONS,2011,FALSE,TRUE
Grant,Aislyn,Aslan,Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills,RANGELAND ECOLOGY & MANAGEMENT,2009,FALSE,TRUE
Grant,Aislyn,Bastida,The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils,MOLECULAR ECOLOGY,2016,FALSE,TRUE
Grant,Aislyn,Coolon,Microbial ecological response of the intestinal flora of Peromyscus maniculatus and P. leucopus to heavy metal contamination,MOLECULAR ECOLOGY,2010,FALSE,TRUE
Grant,Aislyn,Hadley,Tropical deforestation alters hummingbird movement patterns,BIOLOGY LETTERS,2009,FALSE,FALSE
Grant,Aislyn,Heimoana,Integrating spatially explicit molecular and ecological methods to explore the significance of non-crop vegetation to predators of brassica pests,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,FALSE,FALSE
Grant,Aislyn,Klein,Decline in medicinal and forage species with warming is mediated by plant traits on the Tibetan Plateau,ECOSYSTEMS,2008,FALSE,FALSE
Grant,Aislyn,Maria Cubillos,Effect of the conversion of conventional pasture to intensive silvopastoral systems on edaphic bacterial and ammonia oxidizer communities in Colombia,EUROPEAN JOURNAL OF SOIL BIOLOGY,2016,FALSE,FALSE
Grant,Aislyn,McClanahan,Geographic extent and variation of a coral reef trophic cascade,ECOLOGY,2016,FALSE,FALSE
Grant,Aislyn,Murdoch,Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia,BIOLOGICAL CONSERVATION,2017,FALSE,FALSE
Grant,Aislyn,Oberkircher,"Ecosystem and Social Construction: an Interdisciplinary Case Study of the Shurkul Lake Landscape in Khorezm, Uzbekistan",ECOLOGY AND SOCIETY,2011,FALSE,FALSE
Grant,Aislyn,Pohjanmies,More is more? Forest management allocation at different spatial scales to mitigate conflicts between ecosystem services,LANDSCAPE ECOLOGY,2017,FALSE,FALSE
Grant,Aislyn,Rayburn,Landscape change in an agricultural watershed in the US Midwest,LANDSCAPE AND URBAN PLANNING,2009,FALSE,FALSE
Grant,Aislyn,Wang,Evaluating the eco-environment benefit of land reclamation in the dump of an opencast coal mine,CHEMISTRY AND ECOLOGY,2017,FALSE,FALSE
