clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
Climate,1,Climate,Driver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Albert,CONSERVATION BIOLOGY,2017
Land use change,2,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Albert,CONSERVATION BIOLOGY,2017
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,Diverse pollinator communities enhance plant reproductive success,Albrecht,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2012
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Diverse pollinator communities enhance plant reproductive success,Albrecht,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2012
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007
Management Practices,1,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007
Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Ecological correlates of risk and incidence of West Nile virus in the United States,Allan,OECOLOGIA,2009
human population density,2,Population growth and density,OtherDriver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Ecological correlates of risk and incidence of West Nile virus in the United States,Allan,OECOLOGIA,2009
bird diversity,3,Service provider diversity/richness,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Ecological correlates of risk and incidence of West Nile virus in the United States,Allan,OECOLOGIA,2009
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011
Land use change,1,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",Anderson-Teixeira,ECOLOGICAL APPLICATIONS,2012
Management Practices,2,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",Anderson-Teixeira,ECOLOGICAL APPLICATIONS,2012
Service Provider (Q17),3,Service provider identity,Driver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",Anderson-Teixeira,ECOLOGICAL APPLICATIONS,2012
Land use change,1,Land use and land cover change,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013
Management Practices,2,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013
Land use change,1,Land use and land cover change,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013
