assess_date,doublerev,exclude,ResponseId,Init,Title,ES,ResponseCount,Response,Yclass1,Yclass2,Yvar_studyfreq
2020-05-21,FALSE,Keep,R_01WFDyowIJIdWZb,GV,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,CulturePsych,1,Presence of land cover types preferred by people via survey,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,CulturePsych,1,presence of the environment,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,CulturePsych,2,viewscapes,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,CulturePsych,3,sounds and scents,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,CulturePsych,4,natural materials,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,CulturePsych,5,flora and fauna,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,CulturePsych,6,fish,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Food,1,flor,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Food,2,fauna,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Food,3,fungi,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Food,4,timber,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Food,5,fiber,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Food,6,water,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Food,7,open space,ES,,1
2020-05-21,FALSE,Maybe,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Food,8,soil,ES,,1
2020-05-21,FALSE,Keep,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",coastWQReg,1,sediment yield,ES,,2
2020-05-21,FALSE,Keep,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",freshWQReg,1,base flow,ES,,1
2020-05-21,FALSE,Keep,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",SoilProtect,1,surface runoff,ES,,1
2020-05-21,FALSE,Keep,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,CulturePsych,1,coral functional traits,Proxy for ES,,1
2020-05-21,FALSE,Keep,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,HabCreate,1,coral functional traits (Age and size at maturity,Proxy for ES,,1
