ResponseId,Init,Title,id,sameanswer,answer,clean_answer,varnum,clean_answer_finer,final_answer,review_notes,fullquestion,abbr,Group,clean_group,ESnum,qnum,ES,survey_order,qa_note,rev1init,rev2init,revorder,keep,ctw_notes
R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q7,FALSE,"Yes (e.g., a site sampled multiple points in time, a model with dynamics)","Yes (e.g., a site sampled multiple points in time, a model with dynamics)",,,,,Q7: Does the study quantify trends over time?,TimeTrends,,,,Q7,,29,,JL,TK,1,1,JL reviewed
R_ebpR6h320fcgW0F,TK,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q7,FALSE,No,No,,,,,Q7: Does the study quantify trends over time?,TimeTrends,,,,Q7,,29,,JL,TK,2,0,JL reviewed
R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q8,FALSE,2–5 years,2–5 years,,,,,Q7b: How many years of data were used for the study?,YrsData,,,,Q7,,30,,JL,TK,1,1,JL reviewed
R_ebpR6h320fcgW0F,TK,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q8,FALSE,,,,,,,Q7b: How many years of data were used for the study?,YrsData,,,,Q7,,30,,JL,TK,2,0,JL reviewed
R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q25.1_2_1,FALSE,seed dispersal shadow size,seed dispersal shadow size,1,TEST_VALUE,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Pollination and dispersal of seeds or other propagules - Response 1: Separate by commas",Response,,,2,Q12,Pollination,61,,JL,TK,1,0,
R_ebpR6h320fcgW0F,TK,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q25.1_2_1,FALSE,likelihood of seed dispersal in given locations,likelihood of seed dispersal in given locations,1,pollination,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Pollination and dispersal of seeds or other propagules - Response 1: Separate by commas",Response,,,2,Q12,Pollination,61,,JL,TK,2,1,
R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q25.4_2,TRUE,Service Provider (Q17),Service Provider (Q17),1,Service provider identity,,,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Pollination and dispersal of seeds or other propagules,Driver,Bio,Bio,2,Q12,Pollination,124,,JL,TK,1,1,
R_ebpR6h320fcgW0F,TK,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q25.4_2,TRUE,Service Provider (Q17),Service Provider (Q17),1,Service provider identity,,,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Pollination and dispersal of seeds or other propagules,Driver,Bio,Bio,2,Q12,Pollination,124,,JL,TK,2,0,
R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q25.5_2,TRUE,ES,ES,,,,,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Pollination and dispersal of seeds or other propagules,Yclass,,,2,Q12,Pollination,140,,JL,TK,1,1,
R_ebpR6h320fcgW0F,TK,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q25.5_2,TRUE,ES,ES,,,,,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Pollination and dispersal of seeds or other propagules,Yclass,,,2,Q12,Pollination,140,,JL,TK,2,0,
R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q25.8_2,FALSE,,,,,,,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Pollination and dispersal of seeds or other propagules,EffectDirect,Bio,,2,Q12,Pollination,188,,JL,TK,1,0,
R_ebpR6h320fcgW0F,TK,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q25.8_2,FALSE,Didn't quantify,Didn't quantify,,,,,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Pollination and dispersal of seeds or other propagules,EffectDirect,Bio,,2,Q12,Pollination,188,,JL,TK,2,1,
R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q18,FALSE,Kremen Topic 1 : ESPs,"Kremen Topic 1 : ESPs,Kremen Topic 4 : Scale",,,,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),JL,TK,1,1,"Keep JL answer because time included in analysis, so does have scale"
R_ebpR6h320fcgW0F,TK,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,Q18,FALSE,Kremen Topic 1 : ESPs,Kremen Topic 1 : ESPs,,,,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,,Q13,,206,,JL,TK,2,0,
