StartDate,EndDate,RecordedDate,ResponseId,Init,doublerev,version,Title,id,answer,clean_answer,varnum,clean_answer_binned,fullquestion,abbr,Group,clean_group,lulc_group,qnum,ES,survey_order,qa_note,lulc_note,only_lulc,exclude_reason
2020-02-12T18:48:30Z,2020-02-12T18:55:31Z,2020-02-12T18:55:32Z,R_3sieTn2lyDXZibv,NBD,FALSE,final,Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Q25.3_10,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Human,Human,LU_LC,Q12,PestPath,116,NA,NA,TRUE,LULC driver only
2020-02-12T18:48:30Z,2020-02-12T18:55:31Z,2020-02-12T18:55:32Z,R_3sieTn2lyDXZibv,NBD,FALSE,final,Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Q19,"Across species  [e.g. community structure, diversity],Among species [e.g., species interactions]","Across species  [e.g. community structure, diversity],Among species [e.g., species interactions]",NA,NA,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,NA,NA,NA,Q14,NA,207,NA,NA,TRUE,LULC driver only
2020-02-12T18:48:30Z,2020-02-12T18:55:31Z,2020-02-12T18:55:32Z,R_3sieTn2lyDXZibv,NBD,FALSE,final,Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Q20,NA,NA,NA,NA,Notes on Q14,KremenNotes,NA,NA,NA,Q14,NA,208,NA,NA,TRUE,LULC driver only
2020-02-12T18:48:42Z,2020-02-12T18:56:54Z,2020-02-12T18:56:54Z,R_2Qzl81Ly2xgf1DU,LD,FALSE,final,Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function,Q25.3_4,Land use change,Land use change,1,Land use and land cover change,Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,Human,Human,LU_LC,Q12,ClimReg,110,NA,NA,TRUE,LULC driver only
2020-02-12T18:48:42Z,2020-02-12T18:56:54Z,2020-02-12T18:56:54Z,R_2Qzl81Ly2xgf1DU,LD,FALSE,final,Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function,Q19,"Multiple ESP species [e.g., multiple focal ESP species]","Multiple ESP species [e.g., multiple focal ESP species]",NA,NA,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,NA,NA,NA,Q14,NA,207,NA,NA,TRUE,LULC driver only
2020-02-12T18:48:42Z,2020-02-12T18:56:54Z,2020-02-12T18:56:54Z,R_2Qzl81Ly2xgf1DU,LD,FALSE,final,Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function,Q20,A bit unclear - I think they did a per tree biomass estimate and summed then converted to C ,A bit unclear - I think they did a per tree biomass estimate and summed then converted to C,NA,NA,Notes on Q14,KremenNotes,NA,NA,NA,Q14,NA,208,NA,NA,TRUE,LULC driver only
2020-02-19T17:13:23Z,2020-02-19T17:29:17Z,2020-02-19T17:29:17Z,R_3esPgdspKhK6aom,LB,FALSE,final,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,Q25.3_16,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,Human,Human,LU_LC,Q12,CulturePsych,122,NA,NA,TRUE,LULC driver only
2020-02-19T17:13:23Z,2020-02-19T17:29:17Z,2020-02-19T17:29:17Z,R_3esPgdspKhK6aom,LB,FALSE,final,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,Q19,Only land cover or habitat type as proxy,Only land cover or habitat type as proxy,NA,NA,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,NA,NA,NA,Q14,NA,207,NA,NA,TRUE,LULC driver only
2020-02-19T17:13:23Z,2020-02-19T17:29:17Z,2020-02-19T17:29:17Z,R_3esPgdspKhK6aom,LB,FALSE,final,Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,Q20,NA,NA,NA,NA,Notes on Q14,KremenNotes,NA,NA,NA,Q14,NA,208,NA,NA,TRUE,LULC driver only
2020-02-19T19:03:14Z,2020-02-19T19:13:55Z,2020-02-19T19:13:55Z,R_2areXsS3KF89rBI,NBD,FALSE,final,Assessing Resilience in Stressed Watersheds,Q25.3_1,Land use change,Land use change,1,Land use and land cover change,Q12: Which Ecosystem Services were considered?  - Human Driver - Habitat creation and maintenance,Driver,Human,Human,LU_LC,Q12,HabCreate,107,NA,NA,TRUE,LULC driver only
2020-02-19T19:03:14Z,2020-02-19T19:13:55Z,2020-02-19T19:13:55Z,R_2areXsS3KF89rBI,NBD,FALSE,final,Assessing Resilience in Stressed Watersheds,Q25.3_12,Land use change,Land use change,1,Land use and land cover change,Q12: Which Ecosystem Services were considered?  - Human Driver - Food and feed,Driver,Human,Human,LU_LC,Q12,Food,118,NA,NA,TRUE,LULC driver only
2020-02-19T19:03:14Z,2020-02-19T19:13:55Z,2020-02-19T19:13:55Z,R_2areXsS3KF89rBI,NBD,FALSE,final,Assessing Resilience in Stressed Watersheds,Q25.3_16,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,Human,Human,LU_LC,Q12,CulturePsych,122,NA,NA,TRUE,LULC driver only
2020-02-19T19:03:14Z,2020-02-19T19:13:55Z,2020-02-19T19:13:55Z,R_2areXsS3KF89rBI,NBD,FALSE,final,Assessing Resilience in Stressed Watersheds,Q19,NA,NA,NA,NA,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,NA,NA,NA,Q14,NA,207,NA,NA,TRUE,LULC driver only
2020-02-19T19:03:14Z,2020-02-19T19:13:55Z,2020-02-19T19:13:55Z,R_2areXsS3KF89rBI,NBD,FALSE,final,Assessing Resilience in Stressed Watersheds,Q20,NA,NA,NA,NA,Notes on Q14,KremenNotes,NA,NA,NA,Q14,NA,208,NA,NA,TRUE,LULC driver only
2020-02-26T18:16:15Z,2020-02-26T18:32:26Z,2020-02-26T18:32:26Z,R_2rCoLOCzI8mPkDx,AK,FALSE,final,Influence of land use on water quality in a tropical landscape: a multi-scale analysis,Q25.3_7,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Driver,Human,Human,LU_LC,Q12,coastWQReg,113,NA,NA,TRUE,LULC driver only
2020-02-26T18:16:15Z,2020-02-26T18:32:26Z,2020-02-26T18:32:26Z,R_2rCoLOCzI8mPkDx,AK,FALSE,final,Influence of land use on water quality in a tropical landscape: a multi-scale analysis,Q19,NA,NA,NA,NA,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,NA,NA,NA,Q14,NA,207,NA,NA,TRUE,LULC driver only
2020-02-26T18:16:15Z,2020-02-26T18:32:26Z,2020-02-26T18:32:26Z,R_2rCoLOCzI8mPkDx,AK,FALSE,final,Influence of land use on water quality in a tropical landscape: a multi-scale analysis,Q20,just measured water quality metrics and land cover surrounding stream sites,just measured water quality metrics and land cover surrounding stream sites,NA,NA,Notes on Q14,KremenNotes,NA,NA,NA,Q14,NA,208,NA,NA,TRUE,LULC driver only
2020-02-26T18:32:47Z,2020-02-26T18:47:34Z,2020-02-26T18:47:34Z,R_26hhXZOzq4brDdp,AK,FALSE,final,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Q25.3_1,Land use change,Land use change,1,Land use and land cover change,Q12: Which Ecosystem Services were considered?  - Human Driver - Habitat creation and maintenance,Driver,Human,Human,LU_LC,Q12,HabCreate,107,NA,NA,TRUE,LULC driver only
2020-02-26T18:32:47Z,2020-02-26T18:47:34Z,2020-02-26T18:47:34Z,R_26hhXZOzq4brDdp,AK,FALSE,final,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Q25.3_2,Land use change,Land use change,1,Land use and land cover change,Q12: Which Ecosystem Services were considered?  - Human Driver - Pollination and dispersal of seeds or other propagules,Driver,Human,Human,LU_LC,Q12,Pollination,108,NA,NA,TRUE,LULC driver only
2020-02-26T18:32:47Z,2020-02-26T18:47:34Z,2020-02-26T18:47:34Z,R_26hhXZOzq4brDdp,AK,FALSE,final,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Q25.3_8,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Human,Human,LU_LC,Q12,SoilProtect,114,NA,NA,TRUE,LULC driver only
2020-02-26T18:32:47Z,2020-02-26T18:47:34Z,2020-02-26T18:47:34Z,R_26hhXZOzq4brDdp,AK,FALSE,final,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Q25.3_9,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Driver,Human,Human,LU_LC,Q12,Hazards,115,NA,NA,TRUE,LULC driver only
2020-02-26T18:32:47Z,2020-02-26T18:47:34Z,2020-02-26T18:47:34Z,R_26hhXZOzq4brDdp,AK,FALSE,final,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Q25.3_14,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes]",Driver,Human,Human,LU_LC,Q12,MedGen,120,NA,NA,TRUE,LULC driver only
2020-02-26T18:32:47Z,2020-02-26T18:47:34Z,2020-02-26T18:47:34Z,R_26hhXZOzq4brDdp,AK,FALSE,final,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Q25.3_16,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,Human,Human,LU_LC,Q12,CulturePsych,122,NA,NA,TRUE,LULC driver only
2020-02-26T18:32:47Z,2020-02-26T18:47:34Z,2020-02-26T18:47:34Z,R_26hhXZOzq4brDdp,AK,FALSE,final,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Q19,Only land cover or habitat type as proxy,Only land cover or habitat type as proxy,NA,NA,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,NA,NA,NA,Q14,NA,207,NA,NA,TRUE,LULC driver only
2020-02-26T18:32:47Z,2020-02-26T18:47:34Z,2020-02-26T18:47:34Z,R_26hhXZOzq4brDdp,AK,FALSE,final,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Q20,NA,NA,NA,NA,Notes on Q14,KremenNotes,NA,NA,NA,Q14,NA,208,NA,NA,TRUE,LULC driver only
2020-02-26T18:55:48Z,2020-02-26T19:03:51Z,2020-02-26T19:03:52Z,R_26gxhxEXPK8xtep,NBD,FALSE,final,Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,Q25.3_1,Land use change,Land use change,1,Land use and land cover change,Q12: Which Ecosystem Services were considered?  - Human Driver - Habitat creation and maintenance,Driver,Human,Human,LU_LC,Q12,HabCreate,107,NA,NA,TRUE,LULC driver only
2020-02-26T18:55:48Z,2020-02-26T19:03:51Z,2020-02-26T19:03:52Z,R_26gxhxEXPK8xtep,NBD,FALSE,final,Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,Q25.3_4,Land use change,Land use change,1,Land use and land cover change,Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,Human,Human,LU_LC,Q12,ClimReg,110,NA,NA,TRUE,LULC driver only
2020-02-26T18:55:48Z,2020-02-26T19:03:51Z,2020-02-26T19:03:52Z,R_26gxhxEXPK8xtep,NBD,FALSE,final,Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,Q25.3_9,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",Driver,Human,Human,LU_LC,Q12,Hazards,115,NA,NA,TRUE,LULC driver only
2020-02-26T18:55:48Z,2020-02-26T19:03:51Z,2020-02-26T19:03:52Z,R_26gxhxEXPK8xtep,NBD,FALSE,final,Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,Q25.3_14,Land use change,Land use change,1,Land use and land cover change,"Q12: Which Ecosystem Services were considered?  - Human Driver - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes]",Driver,Human,Human,LU_LC,Q12,MedGen,120,NA,NA,TRUE,LULC driver only
2020-02-26T18:55:48Z,2020-02-26T19:03:51Z,2020-02-26T19:03:52Z,R_26gxhxEXPK8xtep,NBD,FALSE,final,Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,Q19,NA,NA,NA,NA,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,NA,NA,NA,Q14,NA,207,NA,NA,TRUE,LULC driver only
2020-02-26T18:55:48Z,2020-02-26T19:03:51Z,2020-02-26T19:03:52Z,R_26gxhxEXPK8xtep,NBD,FALSE,final,Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,Q20,NA,NA,NA,NA,Notes on Q14,KremenNotes,NA,NA,NA,Q14,NA,208,NA,NA,TRUE,LULC driver only
