StartDate,EndDate,RecordedDate,ResponseId,Init,Title,id,answer,clean_answer,fullquestion,abbr,Group,ESnum,qnum,ES,survey_order,flag_noResponse,flag_noDriver,flag_noDirection,FirstAuthor,PublicationYear,SourcePublication
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.1_4_1,carbon sequestration,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of climate [e.g. biological carbon storage and sequestration; me... - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands] - Response 1: Separate by commas",Response,,4,Q12,ClimReg,65,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.1_6_1,water regulation,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - Response 1: Separate by commas",Response,,6,Q12,freshWQReg,69,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.1_13_1,harvestable timber,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pe... - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders] - Response 1: Separate by commas",Response,,13,Q12,Materials,83,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.1_16_1,tourist visits,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Cultural Services, including Physical and psychological experiences ##do we... - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking] - Response 1: Separate by commas",Response,,16,Q12,CulturePsych,89,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.2_4,,"Extreme Events, Other",Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,Env,4,Q12,ClimReg,94,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.2_6,,"Extreme Events, Other","Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Env,6,Q12,freshWQReg,96,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.2_13,,"Extreme Events, Other","Q12: Which Ecosystem Services were considered?  - Environmental Driver - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",Driver,Env,13,Q12,Materials,103,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.2_16,,"Extreme Events, Other","Q12: Which Ecosystem Services were considered?  - Environmental Driver - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Driver,Env,16,Q12,CulturePsych,106,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.3_4,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Driver,Anthro,4,Q12,ClimReg,110,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
2020-03-24T13:59:14Z,2020-03-24T14:40:11Z,2020-03-24T14:40:12Z,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Q25.3_6,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Driver,Anthro,6,Q12,freshWQReg,112,FALSE,TRUE,TRUE,Burkhard,2011,ECOLOGICAL MODELLING
